GemeenteCode;GemeenteNaam;PartijNaam;AantalStemmen
86;Opsterland;ChristenUnie;1335
86;Opsterland;D66;2311
86;Opsterland;DENK;14
86;Opsterland;De Groenen;2
86;Opsterland;Forum voor Democratie;1234
86;Opsterland;GROENLINKS;696
86;Opsterland;JA21;377
86;Opsterland;JEZUS LEEFT;16
86;Opsterland;JONG;33
86;Opsterland;LP (Libertaire Partij);4
86;Opsterland;Lijst Henk Krol;9
86;Opsterland;NIDA;1
86;Opsterland;NLBeter;17
86;Opsterland;OPRECHT;2
86;Opsterland;PVV (Partij voor de Vrijheid);1806
86;Opsterland;Partij van de Arbeid (P.v.d.A.);1845
86;Opsterland;Partij voor de Dieren;610
86;Opsterland;Partij voor de Republiek;1
86;Opsterland;Piratenpartij;28
86;Opsterland;SP (Socialistische Partij);1501
86;Opsterland;Splinter;52
86;Opsterland;Staatkundig Gereformeerde Partij (SGP);295
86;Opsterland;Trots op Nederland (TROTS);38
86;Opsterland;VVD;3218
86;Opsterland;Volt;233
86;Opsterland;Vrij en Sociaal Nederland;1
88;Schiermonnikoog;50PLUS;9
88;Schiermonnikoog;BBB;14
88;Schiermonnikoog;BIJ1;13
88;Schiermonnikoog;CDA;90
88;Schiermonnikoog;CODE ORANJE;1
88;Schiermonnikoog;ChristenUnie;41
88;Schiermonnikoog;D66;167
88;Schiermonnikoog;DENK;0
88;Schiermonnikoog;De Groenen;0
88;Schiermonnikoog;Forum voor Democratie;21
88;Schiermonnikoog;GROENLINKS;78
88;Schiermonnikoog;JA21;12
88;Schiermonnikoog;JEZUS LEEFT;0
88;Schiermonnikoog;JONG;0
88;Schiermonnikoog;LP (Libertaire Partij);1
88;Schiermonnikoog;Lijst Henk Krol;0
88;Schiermonnikoog;NIDA;0
88;Schiermonnikoog;NLBeter;1
88;Schiermonnikoog;OPRECHT;0
88;Schiermonnikoog;PVV (Partij voor de Vrijheid);51
88;Schiermonnikoog;Partij van de Arbeid (P.v.d.A.);96
88;Schiermonnikoog;Partij voor de Dieren;56
88;Schiermonnikoog;Partij voor de Republiek;0
88;Schiermonnikoog;Piratenpartij;4
88;Schiermonnikoog;SP (Socialistische Partij);43
88;Schiermonnikoog;Splinter;0
88;Schiermonnikoog;Staatkundig Gereformeerde Partij (SGP);8
88;Schiermonnikoog;Trots op Nederland (TROTS);0
88;Schiermonnikoog;VVD;158
88;Schiermonnikoog;Volt;40
88;Schiermonnikoog;Vrij en Sociaal Nederland;0
90;Smallingerland;50PLUS;279
90;Smallingerland;BBB;451
90;Smallingerland;BIJ1;81
90;Smallingerland;CDA;4599
90;Smallingerland;CODE ORANJE;88
90;Smallingerland;ChristenUnie;2986
90;Smallingerland;D66;3970
90;Smallingerland;DENK;109
90;Smallingerland;De Groenen;1
90;Smallingerland;Forum voor Democratie;2700
90;Smallingerland;GROENLINKS;1364
90;Smallingerland;JA21;532
90;Smallingerland;JEZUS LEEFT;39
90;Smallingerland;JONG;48
90;Smallingerland;LP (Libertaire Partij);9
90;Smallingerland;Lijst Henk Krol;27
90;Smallingerland;NIDA;20
90;Smallingerland;NLBeter;30
90;Smallingerland;OPRECHT;18
90;Smallingerland;PVV (Partij voor de Vrijheid);3622
90;Smallingerland;Partij van de Arbeid (P.v.d.A.);2970
90;Smallingerland;Partij voor de Dieren;1042
90;Smallingerland;Partij voor de Republiek;7
90;Smallingerland;Piratenpartij;88
90;Smallingerland;SP (Socialistische Partij);2659
90;Smallingerland;Splinter;83
90;Smallingerland;Staatkundig Gereformeerde Partij (SGP);638
90;Smallingerland;Trots op Nederland (TROTS);107
90;Smallingerland;VVD;5242
90;Smallingerland;Volt;368
90;Smallingerland;Vrij en Sociaal Nederland;10
93;Terschelling;50PLUS;28
93;Terschelling;BBB;83
93;Terschelling;BIJ1;10
93;Terschelling;CDA;374
93;Terschelling;CODE ORANJE;17
93;Terschelling;ChristenUnie;65
93;Terschelling;D66;582
93;Terschelling;DENK;1
93;Terschelling;De Groenen;1
93;Terschelling;Forum voor Democratie;164
93;Terschelling;GROENLINKS;184
93;Terschelling;JA21;107
93;Terschelling;JEZUS LEEFT;3
93;Terschelling;JONG;16
93;Terschelling;LP (Libertaire Partij);1
93;Terschelling;Lijst Henk Krol;4
93;Terschelling;NIDA;0
93;Terschelling;NLBeter;3
93;Terschelling;OPRECHT;1
93;Terschelling;PVV (Partij voor de Vrijheid);328
93;Terschelling;Partij van de Arbeid (P.v.d.A.);492
93;Terschelling;Partij voor de Dieren;180
93;Terschelling;Partij voor de Republiek;5
93;Terschelling;Piratenpartij;8
93;Terschelling;SP (Socialistische Partij);193
93;Terschelling;Splinter;11
93;Terschelling;Staatkundig Gereformeerde Partij (SGP);5
93;Terschelling;Trots op Nederland (TROTS);12
93;Terschelling;VVD;955
93;Terschelling;Volt;110
93;Terschelling;Vrij en Sociaal Nederland;1
96;Vlieland;50PLUS;11
96;Vlieland;BBB;6
96;Vlieland;BIJ1;6
96;Vlieland;CDA;67
96;Vlieland;CODE ORANJE;6
96;Vlieland;ChristenUnie;15
96;Vlieland;D66;188
96;Vlieland;DENK;0
96;Vlieland;De Groenen;0
96;Vlieland;Forum voor Democratie;32
96;Vlieland;GROENLINKS;54
96;Vlieland;JA21;31
96;Vlieland;JEZUS LEEFT;0
96;Vlieland;JONG;3
96;Vlieland;LP (Libertaire Partij);0
96;Vlieland;Lijst Henk Krol;0
96;Vlieland;NIDA;0
96;Vlieland;NLBeter;2
96;Vlieland;OPRECHT;0
96;Vlieland;PVV (Partij voor de Vrijheid);66
96;Vlieland;Partij van de Arbeid (P.v.d.A.);64
96;Vlieland;Partij voor de Dieren;52
96;Vlieland;Partij voor de Republiek;0
96;Vlieland;Piratenpartij;1
96;Vlieland;SP (Socialistische Partij);65
96;Vlieland;Splinter;3
96;Vlieland;Staatkundig Gereformeerde Partij (SGP);0
96;Vlieland;Trots op Nederland (TROTS);5
96;Vlieland;VVD;248
96;Vlieland;Volt;29
